Test	Block Size	Result	CPU%	Drive
Linear Read (Begin)	8 MB	6451.8 MB/s	9 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (Middle)	8 MB	7267.7 MB/s	9 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (End)	8 MB	5404.8 MB/s	17 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Random Read	8 MB	7295.5 MB/s	10 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Buffered Read	8 MB	6428.7 MB/s	8 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Average Read Access		0.03 ms	14 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)

Linear Read (Begin)	64 KB	1288.0 MB/s	11 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (Middle)	64 KB	1235.0 MB/s	21 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (End)	64 KB	1289.5 MB/s	15 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Random Read	64 KB	1187.9 MB/s	11 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Buffered Read	64 KB	444.9 MB/s	10 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Average Read Access		0.03 ms	12 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)

Linear Read (Begin)	128 KB	2022.4 MB/s	9 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (Middle)	128 KB	2431.3 MB/s	13 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (End)	128 KB	2147.7 MB/s	7 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Random Read	128 KB	2186.1 MB/s	14 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Buffered Read	128 KB	528.5 MB/s	10 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Average Read Access		0.03 ms	7 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)

Linear Read (Begin)	512 KB	4658.7 MB/s	7 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (Middle)	512 KB	4443.0 MB/s	15 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
Linear Read (End)	512 KB	4327.1 MB/s	10 %	Disk Drive #0  [IntelRaid 0 Volume]  (1907.7 GB)
